Institution Name,Institution Type,Website,Location
Gipfel & Schnell Consultings Pvt. Ltd.,Corporates,N/A,"4th Floor, Kodandarama Complex, 106, Gandhi Bazaar Main Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India"
Aspire Software Consultancy,Corporates,N/A,"#5, 1st Cross, Industrial Area, N.S. Palya Road, BTM 2nd Stage, Bengaluru, Karnataka 560076, India"
ENTUNE IT Consulting Pvt. Ltd.,Corporates,N/A,"Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
Benzne Consulting: Agile Consulting and Coaching | SAFe Consulting | OKR Consulting Services,Corporates,N/A,"BLOCK-L, WeWork Embassy TechVillage, Benzne Consulting Private Limited, Outer Ring Rd, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103, India"
Infodot Technologies Pvt Ltd,Corporates,N/A,"519, 2nd floor, 8th Main Rd, near post office, Sadashiva Nagar, Armane Nagar, Bengaluru, Karnataka 560080, India"
Insight Consultants,Corporates,N/A,"924, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India"
Top Source Consulting Services LLP,Corporates,N/A,"Ambika Corner, 3rd Cross Rd, NGEF Layout, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India"
Strategeos,Corporates,N/A,"UB City, Strategeos Heights, 24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India"
Techasoft Pvt. Ltd.,Corporates,N/A,"3rd Floor, 435, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Aurigo Software Technologies,Corporates,N/A,"Level 6, Commerce@Mantri Building, 12/2, Bannerghatta Rd, NS Palya, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India"
Cloud Software Solution,Corporates,N/A,"Ardente Office One Block-1, First floor, Unit No - F-1119 Sadarmangala road, Hoodicircle, Whitefield, Bengaluru, Karnataka 560048, India"
Elfonze Technologies Pvt Ltd,Corporates,N/A,"Basappa Complex, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
Inode Technologies Private Limited,Corporates,N/A,"363, 19th Main Rd, 1st Block, Prakash Nagar, Rajajinagar, Bengaluru, Karnataka 560010, India"
ERP Bangalore,Corporates,N/A,"504, 2nd Stage, 2nd Main, ‘A’ block, Rajajinagar, West, Post, Bengaluru, Karnataka 560010, India"
Innohub Technologies India Pvt Ltd,Corporates,N/A,"Concorde Tower 1 Level 14 &15 UB City, Vittal Mallya Rd, Bengaluru, Karnataka 560001, India"
Mobinius,Corporates,N/A,"2nd Floor, No. 311/ 19, 1st Main Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560082, India"
Excerpt Technologies Private Limited,Corporates,N/A,"B133/1, 2nd Floor, KSSIDC ITI Estate, Whitefield Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India"
Igeeks Technologies Internship Company,Corporates,N/A,"NO:19,MN Complex,2nd Cross, Sampige Rd, Malleshwaram, Bengaluru, Karnataka 560003, India"
Cumulations Technologies,Corporates,N/A,"2, 601/B, 5th Floor, Sriven Rag Landmark, Near Marvin Leather, Hosur Main Road, Wilson Garden, Bengaluru, Karnataka 560011, India"
Brill Mindz Technologies,Corporates,N/A,"572, 1st Floor, 6th F Cross Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India"
AmSan Technology,Corporates,N/A,"215A, 2nd Floor, 1st Main Rd, S.R.Nagar, Bengaluru, Karnataka 560027, India"
Temenos India Pvt Ltd,Corporates,N/A,"11th Floor, IBC Knowledge Park Block C & D 3rd &, 4/1, Bannerghatta Rd, near Dairy circle, Bengaluru, Karnataka 560029, India"
IFORTIS WORLDWIDE,Corporates,N/A,"Level 14 & 15, UB City, Concorde Towers, 1, Vittal Mallya Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
Evenion Technologies,Corporates,N/A,"2nd Floor, Narayana Arcade, 47/1, Subbarama Chetty Rd, NR Colony, Basavanagudi, Bengaluru, Karnataka 560004, India"
C-Square Info-Solutions Ltd,Corporates,N/A,"6 th Floor, BLOCK CRED, IBC Knowledge Park Tower A, Bannerghatta Rd, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India"
Blue Yonder,Corporates,N/A,"Mantri Commercio Tower-A, MANTRI COMMERCIO, Outer Ring Rd, near Sakra World Hospital, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103, India"
Logsafe | Hr & Payroll Software Development Company,Corporates,N/A,"COTTAGE NO 04, Bangalore Palace, Vasanth Nagar, Bengaluru, Karnataka 560001, India"
Algonomy Software Private Limited (previously Manthan-RichRelevance),Corporates,N/A,"40/4, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
NowFloats Technologies Limited,Corporates,N/A,"ELTS,2nd Floor, Janardhan Towers, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
Innohub Technologies Pvt Ltd,Corporates,N/A,"Level 7, MFAR Greenheart, Outer Ring Rd, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India"
Wolken Software Pvt Ltd - Basavanagudi,Corporates,N/A,"1st Floor, Brigade MLR Centre, 50, Vanivilas Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India"
Cybotrix Technologies,Corporates,N/A,"cauvery complex, 33, Service Rd, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037, India"
Sirius Embedded Software Private Limited,Corporates,N/A,"3RD FLOOR, WEST INN, INSPIRA, opposite YES BANK, Jayanagar 3rd Block, Bengaluru, Karnataka 560011, India"
Madgeek,Corporates,N/A,"1363, 2nd Floor, 24 S E, Main Road, near Ragigudda Temple, Jayanagara 9th Block, J. P. Nagar, Bengaluru, Karnataka 560041, India"
Piculets Solutions- SAP partners Bangalore | SAP Business One partners | SAP Hana | Top SAP partner in Bengaluru,Corporates,N/A,"2nd Floor, Novel Business Park, 57, Anepalya Main Rd, Gajendra Nagar, Adugodi, Bengaluru, Karnataka 560030, India"
SAP Labs India - Whitefield,Corporates,N/A,"138, EPIP Zone Whitefield Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India"
Enverus India Pvt Ltd ( HQ),Corporates,N/A,"Indiqube, South Summit, 18 & 18/1, Vijayarangam Layout, Jayanagar, Bengaluru, Karnataka 560004, India"
Gofrugal Technologies Pvt Ltd,Corporates,N/A,"East End Main Road, L-9, Raheja Towers,, East Wing, No.26/27 MG Road,, Bengaluru, Karnataka 560001, India"
Altair Engineering India Private Limited,Corporates,N/A,"Prestige Trade Tower, 1st Floor No 46 Ward, Municipal, No 77, Palace Rd, Municipal, Sampangiram Nagar, Bengaluru, Karnataka 560001, India"
Sigmato,Corporates,N/A,"No: 61 , 12th Cross, 7th Main Rd, above GK vale, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India"
TechTree IT Systems Private Limited,Corporates,N/A,"Nelson Building M, Krishnappa Layout, 111, Lal Bagh Main Rd, Doddamavalli, Sudhama Nagar, Bengaluru, Karnataka 560027, India"
Embright Infotech Private Limited - VR Company Bangalore,Corporates,N/A,"3rd Floor, Nasscom COE IOT Kionics building, behind HSR police Station, HSR Layout, Bengaluru, Karnataka 560021, India"
Moolya Software Testing Private Limited,Corporates,N/A,"40, Sri Lakshminarayana Mansion, S End Rd, Tata Silk Farm, Jayanagar, Bengaluru, Karnataka 560004, India"
Surya Software Systems Private Limited,Corporates,N/A,"502/A, 1st Main Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560082, India"
Cybrain Software Solutions Pvt Ltd - Web Designing | IT Company | Software Company in Vidyaranyapura Bangalore,Corporates,N/A,"Vidmahe Enclave, 135, Kodigehalli - Thindlu Main Rd, GD Layout, IEHCS Layout, Doddabommasandra, Vidyaranyapura, Bengaluru, Karnataka 560097, India"
DigiFutura,Corporates,N/A,"56/3, 6th Floor, Vakil Square, Bannerghatta Rd, KEB Colony, New Gurappana Palya, Jayanagara 9th Block, BTM Layout, Bengaluru, Karnataka 560029, India"
"Poletek Technologies Pvt Ltd - Enterprise Software and Mobile Application Development Company in Bangalore, India",Corporates,N/A,"House No 51 , First Floor, 103, Pattandur Agrahara Village Main Rd, behind ITPL, Doctors Layout, Whitefield, Bengaluru, Karnataka 560066, India"
Leapsurge Business Innovations Private Limited,Corporates,N/A,"103, 3rd Floor, Rashtriya Vidyalaya Rd, above HDFC Bank, Vishweshwarapura, Bengaluru, Karnataka 560004, India"
Technoforte Software Pvt Ltd - IT Consultancy & IT Outsourcing Services company.,Corporates,N/A,"3rd Floor, VRR Royal Commercial Complex, No.90/85/2, 17th Cross, 21st A Main Rd, Sector I, HSR Layout, Bengaluru, Karnataka 560102, India"
Fusion Informatics,Corporates,N/A,"4th Floor Indiqube, South Mile, South End Circle, Vijayarangam Layout, Jayanagar, Bengaluru, Karnataka 560004, India"
Anush Infobase,Corporates,N/A,"478, 2nd, main, Pushpanjali talkies road, opposite to Reliance Fresh, 3 Stage, Basaveshwar Nagar, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560010, India"
Krify,Corporates,N/A,"303, Sanjana Sovereign Apt 90/98, 8th Main, 38th B Cross Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011, India"
Infinera India Private Limited,Corporates,N/A,"401, Level GF, 3, 4 & 6, Prestige Solitaire Building, Brunton Rd, behind Ajantha Hotel, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025, India"
Way 2 WebSoft Technologies Pvt Ltd,Corporates,N/A,"104, First Floor, Land Mark:, Premier Presidency, 35/ 17, Langford Rd, opposite to St Joseph's College Auditorium, Shanti Nagar, Bengaluru, Karnataka 560025, India"
Software Company in Bangalore,Corporates,N/A,"S End C Cross Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041, India"
COGWAVE SOFTWARE TECHNOLOGIES PVT LTD (Hotel Software),Corporates,N/A,"2ND FLOOR, SHRIRAMA PLAZA, 158/4, DV Gundappa Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India"
Perfios Software Solutions Private Ltd.,Corporates,N/A,"4th Floor, Lasker, HM Vibha Towers, 66/525, Hosur Rd, above Star Hyper, Chikku Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka 560030, India"
Wincent Technologies,Corporates,N/A,"#286,Rajesh complex, 6th phase 1st stage, Rajaji Nagar Industrial Town, Bengaluru, Karnataka 560044, India"
Klaus IT Solutions Pvt Ltd,Corporates,N/A,"#7, Albert St, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025, India"
Zeomega Infotech Private Limited,Corporates,N/A,"Palyam House, 86, S End Rd, Basavanagudi, Bengaluru, Karnataka 560004, India"
Fedela Technologies Pvt Ltd,Corporates,N/A,"S6, 2nd Floor, Richmond Plaza, R R M R Road, Richmond Rd, Sampangi Rama Nagara, Bengaluru, Karnataka 560025, India"
Acviss Technologies,Corporates,N/A,"3rd Floor, Corporate Square, 35, Vanivilas Rd, Kanakapura, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India"
eGenius - ERP Software in Bangalore,Corporates,N/A,"No 646/52, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010, India"
Revaalo Labs Pvt. Ltd.,Corporates,N/A,"2nd Floor, 1316/C, 9th Cross Rd, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India"
Infosys Limited,Corporates,N/A,"N 403. 405 North Block, 4th Floor, Manipal Centre, Near-Syndicate Bank, Mahatma Gandhi Road, Dickenson Road, Bengaluru, Karnataka 560042, India"
CGS,Corporates,N/A,"2nd Floor, 296, 24th Main Rd, above Hema Book World, 6th Phase, KR Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078, India"
Ultimate Tek Solutions,Corporates,N/A,"No.823/4, 2nd Floor, Chitra Complex, 13th Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India"
Crossroad Elf DSS Pvt. Ltd | Data Analytics | Data Engineering | Decision Science Systems Company,Corporates,N/A,"102, 2nd/3rd Floor, 17th Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
Data Analytics Company in USA & India | UXUI | ESG Reporting | AI/ML | 47Billion,Corporates,N/A,"Hoysala Ace, B1602, 20th Main Road, 1, 20th Cross Rd, A Block, Sahakar Nagar, Bengaluru, Karnataka 560092, India"
DataVal Analytics Inc,Corporates,N/A,"GoWorkZone, 74 second floor, Krishna Reddy Colony, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071, India"
"DV Analytics - Data Science, Data Analyst Course Training in Bangalore",Corporates,N/A,"#52, 2nd Floor, Maruthi Nagar, Malleshpalya, Bengaluru, Karnataka 560075, India"
Impact Analytics,Corporates,N/A,"Block-C, Ground Floor, Global Technology Park, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103, India"
Tibil Solutions | Data Engineering | Data Analytics | Data Science | AI Solution Provider,Corporates,N/A,"2nd floor, Swamy Legato, Sy. No. 20/7,Kadubeesanahalli, Bengaluru, Karnataka 560103, India"
"Learnbay - Data Science, Data Analyst Course Training in Bangalore",Corporates,N/A,"1st floor, 1090, 18th Cross Road, above Sangam Sweets, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India"
"AnalytixLabs - Data Science, Analytics & AI Courses in Bangalore",Corporates,N/A,"Backgate, BDA Complex, Bldg 51/2, 1st floor, 12th Main Rd, opp. A2B, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
AmberTAG Analytics Private Limited,Corporates,N/A,"305/66, 2nd Main Road, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070, India"
Kushagramati Analytics Pvt Ltd,Corporates,N/A,"2nd floor, No 16, 17th cross, MC Road, above to Pizza Hut, near Maruthi Mandir, Govindaraja Nagar Ward, PF Layout, Vijayanagar, Bengaluru, Karnataka 560040, India"
Mammoth Analytics,Corporates,N/A,"596/2, 5th Cross Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India"
Brainlabs Digital,Corporates,N/A,"Level 5, Prestige Ferozes, 74, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001, India"
Data Gyan,Corporates,N/A,"Ground Floor (-1), Swamy Tower Landmark: E-ZONE Club, next to Kalamandir, Chinnapanna Halli, Bengaluru, Karnataka 560037, India"
Introtallent Data Science Training Institute in Bangalore,Corporates,N/A,"10, 12th corss, Chinmaya Mission Hospital Rd, Indira Nagar 1st Stage, Bengaluru, Karnataka 560038, India"
TEG Analytics,Corporates,N/A,"ADARSH PALM RETREAT, Outer Ring Rd, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103, India"
Prosera Analytics Private Limited,Corporates,N/A,"# 797, Annapoorna Towers, 3rd Floor 10th Main, 35th Cross Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
Textual Analytics Solutions,Corporates,N/A,"4002/A, 100 Feet Rd, II Stage, Domlur, Bengaluru, Karnataka 560038, India"
DataZymes,Corporates,N/A,"3rd Floor, Anthill IQ, 20, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001, India"
Fragma Data Systems,Corporates,N/A,"2nd Floor, 559, 9th A Main Rd, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India"
Basal Analytics,Corporates,N/A,"3rd Floor, Krishna Kaveri Tower, 360, Double Road, AGB layout, Chikkabanavara, Bengaluru, Karnataka 560090, India"
Inflexion Analytics,Corporates,N/A,"1st Floor, Gopala Krishna Complex, 45/3, Residency Road, Mahatma Gandhi Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
Empulse Global,Corporates,N/A,"2nd floor, Shamrao Compound, 12/7, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India"
Germane Analytics Pvt Ltd,Corporates,N/A,"#90/1, Unit 'B', First Floor Rathnavilas Road,, Basavanagudi, Bengaluru, Karnataka 560004, India"
NI Analytics India| Tableau training | Data Analytics Training | Power BI Training | Azure Training| Full Stack Training.,Corporates,N/A,"No 1206, 3rd Floor, 26th Main Rd, Putlanpalya, 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
Data Analytical System & Solutions,Corporates,N/A,"No: #42-46, 2nd floor, Nanjamma Complex G' Main Street, Jogupalya Rd, Halasuru, Karnataka 560008, India"
Emmela Data & Analytics,Corporates,N/A,"33A, 1st Cross, 17th Main Rd, BTM 1st Stage, Bengaluru, Karnataka 560068, India"
Rupeek Fintech Pvt Ltd,Corporates,N/A,"2nd floor, Divya Sree Towers, Bannerghatta Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029, India"
IBSFINtech India Private Limited,Corporates,N/A,"2nd Floor, JP CORP #219, JP CORP Building 222/14, 3rd Floor, 5th Main, 11, Bellary Rd, Sadashiva Nagar, Bengaluru, Karnataka 560080, India"
i-exceed technology solutions private limited,Corporates,N/A,"SJR Padukone Towers, 51, 100 Feet Rd, Santhosapuram, Koramangala 2nd Block, Koramangala, Bengaluru, Karnataka 560034, India"
MoneyGear Fintech Private Limited,Corporates,N/A,"171, Jumma Masjid Rd, Sulthangunta, Shivaji Nagar, Bengaluru, Karnataka 560001, India"
M2P Fintech,Corporates,N/A,"2nd floor, Finflux, No: 228, 6th A Main Rd, near CMR University, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India"
Wibmo (enStage Software Pvt. Ltd.) Bengaluru,Corporates,N/A,"3/1, Ground Floor, Adonis, Old Madras Rd, Binna Mangala, Sarvagnanagar, Bengaluru, Karnataka 560038, India"
LogiPe Fintech Private Limited,Corporates,N/A,"IMG Tower, 18, 80 Feet Rd, New Friends Colony, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India"
